  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      456        1.101        5.076            0      429.657      101.441       90.638
      457        1.328        5.130            0      425.422       92.470       91.820
      458        1.642        5.463            0      431.883      125.055       90.165
      459        1.583        5.120            0      426.798      118.088       92.354
      460        1.664        5.152            0      427.408      119.278       89.037
      461        1.448        5.234            0      427.548      154.495       86.740
      462        1.353        5.272            0      426.386      155.806       92.312
      463        1.651        5.330            0      429.214      123.938       91.987
      464        1.510        5.347            0      425.068      115.970       93.079
      465        1.602        5.242            0      430.227      114.982       91.976
      466        1.448        5.081            0      426.436      116.611       89.669
      467        1.406        4.906            0      426.726      143.017       91.453
      468        1.508        5.013            0      427.968      150.525       90.382
      469        1.179        5.182            0      428.400      121.312       89.688
      470        1.656        5.226            0      426.249      118.176       92.033
      471        1.487        5.199            0      432.002       83.175       97.471
      472        1.503        5.094            0      425.599      129.551       96.423
      473        1.098        5.352            0      427.839      151.426       92.599
      474        1.319        5.305            0      429.133      126.820       91.462
      475        0.981        5.312            0      428.691      144.949       92.087
      476        1.558        4.870            0      429.220      121.884       99.342
      477        1.563        4.992            0      423.930      130.932       87.605
      478        1.637        5.126            0      425.231      113.488       97.299
      479        1.819        5.158            0      426.372      121.559       96.877
      480        1.650        5.229            0      425.800      143.868       92.272
      481        1.597        5.302            0      431.199      120.265       90.847
      482        1.589        5.153            0      428.016      143.121       97.305
      483        1.326        4.996            0      424.760      143.224       99.566
      484        1.451        4.935            0      430.254      171.967       99.344
      485        1.537        4.805            0      430.628      162.325       97.222
      486        1.397        4.835            0      417.366      134.042       97.729
      487        1.563        5.042            0      425.902      152.218      100.830
      488        1.506        5.148            0      429.137      127.694      100.592
      489        1.509        4.972            0      423.932      160.045       96.143
      490        1.547        5.143            0      426.159      186.351       95.218
      491        1.420        4.790            0      407.858      169.965      101.463
      492        1.531        4.758            0      402.759      152.789      101.092
      493        1.497        4.893            0      414.383      162.967      103.641
      494        0.601        4.828            0      403.295      143.846      100.441
      495        0.950        4.759            0      409.461      155.916       96.903
      496        0.776        4.765            0      403.566      146.094       99.946
      497        0.458        4.899            0      416.689      139.798       98.057
      498        1.657        4.764            0      409.875      139.506      101.809
      499        0.819        4.788            0      412.519      124.146      101.947
      500        0.958        4.736            0      401.304      148.281      100.901
      501        0.744        4.682            0      401.799      138.161      100.755
      502        0.945        4.831            0      408.777      167.267      101.738
      503        0.976        4.860            0      412.832      156.925      100.003
      504        0.615        4.762            0      407.305      140.634       96.509
      505        0.606        4.817            0      408.487      133.661       99.313
      506        0.552        4.651            0      395.817      139.332       99.163
      507        0.639        4.855            0      413.872      163.105       94.271
      508        0.755        4.663            0      396.624      136.131       99.840
      509        0.804        4.570            0      393.693      162.102      101.639
      510        0.440        4.810            0      401.988      166.168      101.572
      511        0.791        4.718            0      403.694      168.875      100.125
      512        1.016        4.690            0      400.375      142.159      100.209
      513        0.619        4.753            0      403.174      146.848      104.896
      514        0.716        4.742            0      403.505      136.766      100.483
      515        0.597        4.727            0      400.463      144.873      103.056
      516        0.540        4.662            0      398.927      159.071      101.915
      517        0.728        4.716            0      403.574      155.303      104.972
      518        0.986        4.635            0      396.230      143.606      101.005
      519        0.977        4.640            0      397.545      146.232      103.245
      520        0.825        4.722            0      400.131      129.600      102.568
      521        0.998        4.689            0      398.216      136.187      102.509
      522        0.692        4.872            0      410.831      147.407      101.250
      523        0.992        4.708            0      402.644      151.804      103.686
      524        0.760        4.765            0      406.266      150.864      100.452
      525        0.952        4.731            0      399.535      140.764      104.275
      526        0.683        5.018            0      428.404      163.159       96.561
      527        0.671        5.079            0      427.815      156.144       96.235
      528        0.708        5.173            0      426.890      133.538       95.649
      529        0.826        5.250            0      426.838      139.038       91.658
      530        0.891        5.104            0      426.997      157.212       91.619
